x1,x2,x3,dates,target_dates,target_sunspots
21.843625233359646,-121.25749133781999,31.04821143477541,1973-06-30,1984-01-31,
12.54102881908052,-126.93631210453337,54.111235839047104,1973-07-31,1984-02-29,
-1.7075652584996401,-123.75770301783436,35.34209385688516,1973-08-31,1984-03-31,
-0.28018235001457326,-122.18025450889253,26.284060148345723,1973-09-30,1984-04-30,
-7.668182489277458,-121.15495511707225,19.77413042245506,1973-10-31,1984-05-31,
-21.711830705201876,-124.78849742948196,29.602196280602087,1973-11-30,1984-06-30,
-28.85794496634105,-126.4045815409986,36.14732154886293,1973-12-31,1984-07-31,
-37.0805810500951,-127.09886447692523,30.07645020874831,1974-01-31,1984-08-31,
-33.42571667454621,-127.68218768791277,36.133909948723485,1974-02-28,1984-09-30,
-40.083767764069165,-125.00231374691266,22.916716425711275,1974-03-31,1984-10-31,
-44.01633215470252,-125.10348772470188,19.73195926630303,1974-04-30,1984-11-30,
-42.148324035810894,-123.35508494953814,12.85527482418835,1974-05-31,1984-12-31,
-37.455531094726545,-121.86473164203055,8.401481790801258,1974-06-30,1985-01-31,
-29.63814431426102,-123.13970467004059,13.081698827059073,1974-07-31,1985-02-28,
-29.16215758538428,-120.03827312104438,1.1029500432310635,1974-08-31,1985-03-31,
-18.903458893779124,-116.73170942636469,-7.818808887145925,1974-09-30,1985-04-30,
-20.040844188476083,-115.63889578200825,-14.561964557208244,1974-10-31,1985-05-31,
-30.62419696764512,-116.67458052011743,-15.20371270331554,1974-11-30,1985-06-30,
-37.09739787329198,-121.39521447854509,3.078358939145447,1974-12-31,1985-07-31,
-47.51130331475563,-120.93977788092901,-5.2007902700935675,1975-01-31,1985-08-31,
-61.73561590772631,-127.20711821779419,15.721703498225276,1975-02-28,1985-09-30,
-72.3477320868476,-127.6864833115579,14.544603525806865,1975-03-31,1985-10-31,
-81.06458894641634,-128.51525675772618,17.592753342442386,1975-04-30,1985-11-30,
-95.99650453597869,-131.24682719179154,21.822868821372193,1975-05-31,1985-12-31,
-102.51664179208194,-132.60181753125065,24.313973441355085,1975-06-30,1986-01-31,
-97.51847550435662,-128.3761031766787,7.370534281375992,1975-07-31,1986-02-28,
-93.10956080224256,-126.233488007678,-2.7705129544229887,1975-08-31,1986-03-31,
-86.18184400225684,-127.24203110861265,7.1569693065913045,1975-09-30,1986-04-30,
-93.39236022438445,-124.92050432233263,-6.103361847521838,1975-10-31,1986-05-31,
-99.70626464695863,-121.03013254302256,-25.733065984039612,1975-11-30,1986-06-30,
-102.38676706448211,-122.02721187236791,-22.18558685088163,1975-12-31,1986-07-31,
-104.6633394989023,-123.6731820797794,-19.43861872560968,1976-01-31,1986-08-31,
-117.29797095409697,-125.01909219847633,-18.444718744330814,1976-02-29,1986-09-30,
-121.31040152897353,-124.92596884317786,-21.887365209973353,1976-03-31,1986-10-31,
-115.9761287769306,-127.63836515842868,-8.366708886257848,1976-04-30,1986-11-30,
-115.22587298535566,-125.04138896317603,-18.521968272695975,1976-05-31,1986-12-31,
-118.5167451713712,-124.59767720142229,-21.674630885539184,1976-06-30,1987-01-31,
-116.21820704380313,-124.89829863406246,-16.24831167386027,1976-07-31,1987-02-28,
-114.73101883961387,-122.89894204959195,-25.32490641755895,1976-08-31,1987-03-31,
-116.17040320073795,-128.1371467071585,-5.478097977929293,1976-09-30,1987-04-30,
-116.99072002873496,-123.810328814009,-23.92008815264322,1976-10-31,1987-05-31,
-124.59106362142006,-121.7167295433763,-35.920493099799835,1976-11-30,1987-06-30,
